"","Affiliation","Facility.Name","Address","City","State","Zip.Code","lat","long"
"1","Title 5 (638)","Cherokee Nation Tahlequah Outpatient Clinic","124 E Choctaw St","Tahlequah","OK","74464",35.9105898,-94.9710362720946
"2","Title 5 (638)","Jack Brown Center","17091 S Muskogee","Tahlequah","OK","74464",35.8474164,-95.0014579896694
"3","Title 5 (638)","John Anderson Health Center ( Broken Bow)","1300 Martin Luther King Drive","Broken Bow","OK","74728",34.0264288468868,-94.7267635360113
"4","Title 5 (638)","Hugo Health Center","410 North M Street","Hugo","OK","74743",34.0139977610009,-95.5263717531714
"5","Title 5 (638)","McAlester Health Center","1127 S George Nigh Expy. ","McAlester","OK","74501",34.8979857166185,-95.7561965862383
"6","Title 5 (638)","Rubin White Health Center","109 Kerr Ave","Poteau","OK","74953",35.0185582225404,-94.6633884767729
"7","Title 5 (638)","Stigler Choctaw Health Center","2204 East Main Street","Stigler","OK","74462",35.25167645,-95.11653965
"8","Title 5 (638)","Idabel Health Center","902 East Lincoln Road","Idabel","OK","74745",33.8808120080321,-94.8175333212851
"9","Title 5 (638)","Atoka Choctaw Nation Health Center","1201 W Liberty Road","Atoka","OK","74525",34.3939607719484,-96.1511597777284
"10","Title 5 (638)","Chickasaw Nation Medical Center","1921 Stonecipher Blvd.","Ada","OK","74820",34.731557,-96.6468573180561
"11","Title 5 (638)","Tishomingo Indian Health Clinic","815 E 6th St","Tishomingo","OK","73460",34.2345199221234,-96.6666555531104
"12","Title 5 (638)","Ardmore Health Center","2510 Chickasaw Blvd.","Ardmore","OK","73401",34.2012921632653,-97.1404
"13","Title 5 (638)","Durant Indian Health Clinic","1600 N Washington","Durant","OK","74701",34.0079076346154,-96.3902792307692
"14","Title 5 (638)","Kanza Health Center","3151 East River Rd","Newkirk","OK","74647",36.8825556,-97.0290915882099
"15","Urban","Oklahoma City Indian Clinic","4913 W Reno ","Oklahoma City","OK","73127",35.464069,-97.6081679089392
"16","Title 5 (638)","Kickapoo Health Center (McLoud)","407 N Highway 102","McLoud","OK","74851",35.3801326365556,-97.0624107706166
"17","Title 5 (638)","Native American Recovery Center","420 N Kickapoo Avenue","Shawnee","OK","74801",35.3694921973289,-96.9286386045061
